instName	libName	libURL
A.T.Still U. of the Health Sciences	A.T. Still Memorial Library	http://www.EXAMPLE.com
Albany Medical College	Schaffer Library of Health Science	http://www.EXAMPLE.com
Albert Einstein College of Medicine	D. Samuel Gottesman Library	http://www.EXAMPLE.com
Alpert Medical School, Brown University	Champlin Memorial Library	http://www.EXAMPLE.com
Boston University Medical Center	Alumni Medical Library	http://www.EXAMPLE.com
Case Western Reserve University School of Medicine	Cleveland Health Science Library	http://www.EXAMPLE.com
Centers for Disease Control & Prevention	CDC Public Health Library and Information Center	http://www.EXAMPLE.com
Charles Drew University of Medicine & Science	King/Drew Health Sciences Library	http://www.EXAMPLE.com
City of Hope	Graff Library	http://www.EXAMPLE.com
Cleveland Clinic	Cleveland Clinic Alumni Library	http://www.EXAMPLE.com
Columbia University	Augustus C. Long Hlt Science Library	http://www.EXAMPLE.com
Creighton University	Health Sciences Library	http://www.EXAMPLE.com
Dalhousie University	W.K. Kellogg Health Sciences Library	http://www.EXAMPLE.com
Dartmouth College	Dartmouth Biomedical Libraries	http://www.EXAMPLE.com
Drexel University Libraries	Library Academic Partnerships	http://www.EXAMPLE.com
Duke University	Medical Center Library	http://www.EXAMPLE.com
East Carolina University	Laupus Health Sciences Library	http://www.EXAMPLE.com
Eastern Virginia Medical School	Edward E. Brickell Medical Sciences Library	http://www.EXAMPLE.com
Edward Via College of Osteopathic Medicine - Virginia Campus	VCOM Library	http://www.EXAMPLE.com
Emory University	Woodruff Health Sciences Center Library	http://www.EXAMPLE.com
Florida International University	Herbert Wertheim College of Medicine	http://www.EXAMPLE.com
Florida State University	Charlotte Edwards Maguire Medical Library	http://www.EXAMPLE.com
Fox Chase Cancer Center	Talbot Research Library	http://www.EXAMPLE.com
Fred Hutchinson Cancer Reserch Center	Arnold Library	http://www.EXAMPLE.com
George Washington U Med Center	Himmelfarb Health Science Library	http://www.EXAMPLE.com
Georgetown Univ Med Ctr	Dahlgren Memorial Library	http://www.EXAMPLE.com
Georgia Regents University	Robert B. Greenblatt MD Library	http://www.EXAMPLE.com
Greenville Hopital System University Medical Center	USCSOM - Greenville	http://www.EXAMPLE.com
Harvard Medical School	Countway Library of Medicine	http://www.EXAMPLE.com
Health Science Center at Brooklyn Foundation, Inc.	Med Research Library at Brooklyn	http://www.EXAMPLE.com
Hofstra Northwell School of Medicine	Hofstra Northwell	http://www.EXAMPLE.com
Houston Academy of Medicine-Texas Med Ctr Library	The Texas Medical Center Library	http://www.EXAMPLE.com
Howard University	Louis Stokes Health Sciences Library	http://www.EXAMPLE.com
Icahn School of Medicine at Mount Sinai	Gustave L. and Janet W. Levy Library	http://www.EXAMPLE.com
Indiana University School of Medicine	Ruth Lilly Medical Library	http://www.EXAMPLE.com
Johns Hopkins University	Welch Medical Library	http://www.EXAMPLE.com
Loma Linda University	Del E. Webb Memorial Library	http://www.EXAMPLE.com
Louisiana State Univ, Health Sciences Ctr, Shreveport	Health Sciences Library	http://www.EXAMPLE.com
Louisiana State Univ-New Orleans	Health Sciences Library	http://www.EXAMPLE.com
Loyola University Stritch School of Medicine	Health Science Library	http://www.EXAMPLE.com
Mayo Clinic	Mayo Clinic Libraries	http://www.EXAMPLE.com
McGill University	Schulich Library	http://www.EXAMPLE.com
McMaster University	Health Sciences Library	http://www.EXAMPLE.com
MCPHS University	Health Sciences Library	http://www.EXAMPLE.com
Med Coll of Wisconsin	Med Coll of Wisconsin Libraries	http://www.EXAMPLE.com
Medical Sciences Campus, University of Puerto Rico	Conrado F. Asenjo	http://www.EXAMPLE.com
Medical Univ of South Carolina	Medical University of South Carolina Library	http://www.EXAMPLE.com
Memorial Sloan Kettering Cancer Center	Medical Library, Nathan Cummings Center	http://www.EXAMPLE.com
Memorial University of Newfoundland	Health Sciences Library	http://www.EXAMPLE.com
Mercer University	Mercer Medical Library & Peyton T. Anderson LRC	http://www.EXAMPLE.com
Michigan State University	Michigan State Univ Libraries	http://www.EXAMPLE.com
Midwestern University	Library	http://www.EXAMPLE.com
Miller School of Medicine, Univ. of Miami	Louis Calder Memorial Library	http://www.EXAMPLE.com
Morehouse School of Medicine	Morehouse School of Medicine Library	http://www.EXAMPLE.com
National Institutes of Health	National Institute of Health	http://www.EXAMPLE.com
New York Medical College	Medical Sciences Library	http://www.EXAMPLE.com
NIH	National Library of Medicine	http://www.EXAMPLE.com
Northern Ontario School of Medicine, NW Campus, Lakehead University	Health Sciences Library	http://www.EXAMPLE.com
Northwestern University Feinberg School of Medicine	Galter Health Sciences Library	http://www.EXAMPLE.com
Nova Southeastern University	Health Professions Div. Libr.	http://www.EXAMPLE.com
NYU Langone Medical Center	NYU Health Sciences Library	http://www.EXAMPLE.com
Oakland University William Beaumont School of Medicine	Medical Library	http://www.EXAMPLE.com
Ohio State University	Health Sciences Library	http://www.EXAMPLE.com
Oregon Health & Science University	Library	http://www.EXAMPLE.com
Penn State Hershey, Milton S. Hershey Med Ct, Penn State College of Medicine	George T. Harrell Health Sciences Library	http://www.EXAMPLE.com
Philadelphia College of Osteo. Med.	O.J. Snyder Memorial Medical Library	http://www.EXAMPLE.com
Quinnipiac University	Edward and Barbara Netter Library	http://www.EXAMPLE.com
Rosalind Franklin University of Medicine and Science	Boxer Library	http://www.EXAMPLE.com
