instName	libName
A.T.Still U. of the Health Sciences	A.T. Still Memorial Library
Albany Medical College	Schaffer Library of Health Science
Albert Einstein College of Medicine	D. Samuel Gottesman Library
Alpert Medical School, Brown University	Champlin Memorial Library
Boston University Medical Center	Alumni Medical Library
Case Western Reserve University School of Medicine	Cleveland Health Science Library
Centers for Disease Control & Prevention	CDC Public Health Library and Information Center
Charles Drew University of Medicine & Science	King/Drew Health Sciences Library
City of Hope	Graff Library
Cleveland Clinic	Cleveland Clinic Alumni Library
Columbia University	Augustus C. Long Hlt Science Library
Creighton University	Health Sciences Library
Dalhousie University	W.K. Kellogg Health Sciences Library
Dartmouth College	Dartmouth Biomedical Libraries
Drexel University Libraries	Library Academic Partnerships
Duke University	Medical Center Library
East Carolina University	Laupus Health Sciences Library
Eastern Virginia Medical School	Edward E. Brickell Medical Sciences Library
Edward Via College of Osteopathic Medicine - Virginia Campus	VCOM Library
Emory University	Woodruff Health Sciences Center Library
Florida International University	Herbert Wertheim College of Medicine
Florida State University	Charlotte Edwards Maguire Medical Library
Fox Chase Cancer Center	Talbot Research Library
Fred Hutchinson Cancer Reserch Center	Arnold Library
George Washington U Med Center	Himmelfarb Health Science Library
Georgetown Univ Med Ctr	Dahlgren Memorial Library
Georgia Regents University	Robert B. Greenblatt MD Library
Greenville Hopital System University Medical Center	USCSOM - Greenville
Harvard Medical School	Countway Library of Medicine
Health Science Center at Brooklyn Foundation, Inc.	Med Research Library at Brooklyn
Hofstra Northwell School of Medicine	Hofstra Northwell
Houston Academy of Medicine-Texas Med Ctr Library	The Texas Medical Center Library
Howard University	Louis Stokes Health Sciences Library
Icahn School of Medicine at Mount Sinai	Gustave L. and Janet W. Levy Library
Indiana University School of Medicine	Ruth Lilly Medical Library
Johns Hopkins University	Welch Medical Library
Loma Linda University	Del E. Webb Memorial Library
Louisiana State Univ, Health Sciences Ctr, Shreveport	Health Sciences Library
Louisiana State Univ-New Orleans	Health Sciences Library
Loyola University Stritch School of Medicine	Health Science Library
Mayo Clinic	Mayo Clinic Libraries
McGill University	Schulich Library
McMaster University	Health Sciences Library
MCPHS University	Health Sciences Library
Med Coll of Wisconsin	Med Coll of Wisconsin Libraries
Medical Sciences Campus, University of Puerto Rico	Conrado F. Asenjo
Medical Univ of South Carolina	Medical University of South Carolina Library
Memorial Sloan Kettering Cancer Center	Medical Library, Nathan Cummings Center
Memorial University of Newfoundland	Health Sciences Library
Mercer University	Mercer Medical Library & Peyton T. Anderson LRC
Michigan State University	Michigan State Univ Libraries
Midwestern University	Library
Miller School of Medicine, Univ. of Miami	Louis Calder Memorial Library
Morehouse School of Medicine	Morehouse School of Medicine Library
National Institutes of Health	National Institute of Health
New York Medical College	Medical Sciences Library
NIH	National Library of Medicine
Northern Ontario School of Medicine, NW Campus, Lakehead University	Health Sciences Library
Northwestern University Feinberg School of Medicine	Galter Health Sciences Library
Nova Southeastern University	Health Professions Div. Libr.
NYU Langone Medical Center	NYU Health Sciences Library
Oakland University William Beaumont School of Medicine	Medical Library
Ohio State University	Health Sciences Library
Oregon Health & Science University	Library
Penn State Hershey, Milton S. Hershey Med Ct, Penn State College of Medicine	George T. Harrell Health Sciences Library
Philadelphia College of Osteo. Med.	O.J. Snyder Memorial Medical Library
Quinnipiac University	Edward and Barbara Netter Library
Rosalind Franklin University of Medicine and Science	Boxer Library
Rowan University	School of Osteopathic Medicine
Rowan University	Cooper Medical School
Rush University Medical Center	Library of Rush University
Rutgers - Robert Wood Johnson Medical School	RWJ Library of the Health Sciences
Rutgers, The State University of New Jersey	Health Sciences Libraries
Saint Louis University	Saint Louis Univ. Medical Center Health Sciences Ctr Library
Seton Hall University	Walsh Library
Southern Illinois University	School of Medicine Library
Stanford Univ Medical Center	Lane Medical Library
Stony Brook University	Health Sciences Ctr Library
SUNY Upstate Medical University	Health Science Center Library
Temple University	Ginsburg Health Sciences Library
Texas A & M University	Medical Sciences Library
Texas Tech Univ Health Sci Ctr	Preston Smith Library of the Health Sciences
The Commonwealth Medical College	Medical Library
The University of Toledo	Raymon H. Mulford Library
Thomas Jefferson University	Scott Memorial Library
Tufts University	Hirsh Health Sciences Library
Tulane University	Rudolph Matas Library of the Health Sciences
U AZ College of Medicine-Phx	Arizona Health Sciences Library-Phoenix
U of N Carolina at Chapel Hill	Health Sciences Library
UC Irvine	UCI Libraries
UCLA 	Louise M. Darling Biomedical Library
Univ of Calif, San Francisco	Library and Center for Knowledge Management
Univ of California Davis	Blaisdell Medical Library
Univ of Connecticut Hlt Ctr	Lyman Maynard Stowe Library
Univ of North Texas Health Sci Ctr	Gibson D. Lewis Health Science Library
Univ of Rochester Medical Ctr	Edward G. Miner Library
Univ of Texas Hlt Sci Ctr	Briscoe Library
Univ of Texas MD Anderson Cancer Ctr	Research Medical Library - Unit 1499
Univ of Texas Southwestern Med Ctr	Health Sciences Digital Library and Learning Center
Univ of Virginia Health System	Claude Moore Health Sciences Library
Univ of Wisconsin-Madison	Ebling Library
Univ. of Illinois at Chicago	Library of the Health Sciences
Univ. of Minnesota,Twin Cities	Health Sciences Libraries
Univ. of Nevada School of Med.	Savitt Medical Library
University at Buffalo (SUNY)	Health Sciences Library
University of Alabama at Birmingham	UAB Libraries
University of Arizona	Arizona Health Sciences Library
University of Arkansas for Medical Sciences	UAMS LIbrary
University of Calgary	University of Calgary - Libraries & Cultural Resources
University of California Riverside	Orbach Science Library
University of Central Florida College of Medicine	Harriet F. Ginsburg Health Sciences Library
University of Chicago	The John Crerar Library
