instName	libName	libUrl	code	codeUrl
A.T.Still U. of the Health Sciences	A.T. Still Memorial Library	http://www.atsu.edu/atsmlib	0	na
Albany Medical College	Schaffer Library of Health Science	http://www.amc.edu/Academic/Schaffer/	0	na
Albert Einstein College of Medicine	D. Samuel Gottesman Library	http://library.einstein.yu.edu/	1	http://libguides.einstein.yu.edu/rdm
Alpert Medical School, Brown University	Champlin Memorial Library	http://library.brown.edu/	3	https://library.brown.edu/cds/activities/#consultation
Boston University Medical Center	Alumni Medical Library	http://med-libwww.bu.edu/	1	http://med-libwww.bu.edu/faculty/nih_policy.php
Case Western Reserve University School of Medicine	Cleveland Health Science Library	http://www.case.edu/chsl/library/index.html	2	http://library.case.edu/ksl/freedmancenter/digitalscholarship/csgd/dataservices.html
Centers for Disease Control & Prevention	CDC Public Health Library and Information Center	http://www.cdc.gov/library/	0	na
Charles Drew University of Medicine & Science	King/Drew Health Sciences Library	http://library.cdrewu.edu/	0	na
City of Hope	Graff Library	http://www.cityofhope.org/graff-library	3	http://www.cityofhope.org/research/shared-resources/bioinformatics-core
Cleveland Clinic	Cleveland Clinic Alumni Library	http://portals.clevelandclinic.org/library/	0	na
Columbia University	Augustus C. Long Hlt Science Library	http://library.cumc.columbia.edu/		
Creighton University	Health Sciences Library	http://www.creighton.edu/health/library/		
Dalhousie University	W.K. Kellogg Health Sciences Library	http://libraries.dal.ca/		
Dartmouth College	Dartmouth Biomedical Libraries	http://www.dartmouth.edu/~library/biomed/?mswitch-redir=classic		
Drexel University	Drexel University Libraries	https://www.library.drexel.edu/		
Duke University	Medical Center Library	https://mclibrary.duke.edu/		
East Carolina University	Laupus Health Sciences Library	http://www.ecu.edu/cs-dhs/laupuslibrary/		
Eastern Virginia Medical School	Edward E. Brickell Medical Sciences Library	http://www.evms.edu/library/		
Edward Via College of Osteopathic Medicine - Virginia Campus	VCOM Library	http://www.vcom.edu/vcomlibrary/		
Emory University	Woodruff Health Sciences Center Library	http://healthlibrary.emory.edu/		
Florida International University	Herbert Wertheim College of Medicine	http://medlib.fiu.edu/		
Florida State University	Charlotte Edwards Maguire Medical Library	http://med.fsu.edu/?fuseaction=library.home		
Fox Chase Cancer Center	Talbot Research Library	http://library.foxchase.org/index.html		
Fred Hutchinson Cancer Reserch Center	Arnold Library	http://sharedresources.fredhutch.org/core-facilities/library		
George Washington U Med Center	Himmelfarb Health Science Library	http://himmelfarb.gwu.edu/		
Georgetown Univ Med Ctr	Dahlgren Memorial Library	http://dml.georgetown.edu/		
Georgia Regents University	Robert B. Greenblatt MD Library	http://www.augusta.edu/library/greenblatt/		
Greenville Hopital System University Medical Center	USCSOM - Greenville	http://greenvillemed.sc.edu/library.shtml		
Harvard Medical School	Countway Library of Medicine	http://library.harvard.edu/med	3	http://isites.harvard.edu/icb/icb.do?keyword=k78759&tabgroupid=icb.tabgroup123330
Health Science Center at Brooklyn Foundation, Inc.	Med Research Library at Brooklyn	http://library.downstate.edu/		
Hofstra Northwell School of Medicine	Hofstra Northwell	http://medicine.hofstra.edu/library/index.html		
Houston Academy of Medicine-Texas Med Ctr Library	The Texas Medical Center Library	http://library.tmc.edu/		
Howard University	Louis Stokes Health Sciences Library	http://www.founders.howard.edu/hslnew/		
Icahn School of Medicine at Mount Sinai	Gustave L. and Janet W. Levy Library	http://icahn.mssm.edu/about/ait/levy-library		
Indiana University School of Medicine	Ruth Lilly Medical Library	http://library.medicine.iu.edu/		
Johns Hopkins University	Welch Medical Library	http://welch.jhmi.edu/welchone/		
Loma Linda University	Del E. Webb Memorial Library	http://library.llu.edu/		
Louisiana State Univ, Health Sciences Ctr, Shreveport	Health Sciences Library	http://lib-sh.lsuhsc.edu/		
Louisiana State Univ-New Orleans	Health Sciences Library	http://www.lsuhsc.edu/library/		
Loyola University Stritch School of Medicine	Health Science Library	http://library.luhs.org/hslibrary/index.htm		
Mayo Clinic	Mayo Clinic Libraries	http://www.mayo.edu/library		
McGill University	Schulich Library	http://www.mcgill.ca/library/branches/schulich		
McMaster University	Health Sciences Library	http://hsl.mcmaster.ca/		
MCPHS University	Health Sciences Library	https://my.mcphs.edu/library		
Med Coll of Wisconsin	Med Coll of Wisconsin Libraries	http://www.mcw.edu/Libraries.htm		
Medical Sciences Campus, University of Puerto Rico	Conrado F. Asenjo	http://rcm-library.rcm.upr.edu/		
Medical Univ of South Carolina	Medical University of South Carolina Library	http://uscm.med.sc.edu/		
Memorial Sloan Kettering Cancer Center	Medical Library, Nathan Cummings Center	https://library.mskcc.org/		
Memorial University of Newfoundland	Health Sciences Library	http://www.library.mun.ca/hsl/		
Mercer University	Mercer Medical Library & Peyton T. Anderson LRC	http://med.mercer.edu/library/index-offcampus.html		
Michigan State University	Michigan State Univ Libraries	http://www.lib.msu.edu/		
Midwestern University	Library	http://library.midwestern.edu/mwuhome		
Miller School of Medicine, Univ. of Miami	Louis Calder Memorial Library	http://calder.med.miami.edu/		
Morehouse School of Medicine	Morehouse School of Medicine Library	http://www.msm.edu/Library/index.php		
National Institutes of Health	National Institute of Health	https://www.nlm.nih.gov/		
New York Medical College	Medical Sciences Library	http://library.nymc.edu/		
